symbol,total_return,sharpe_ratio,max_drawdown,volatility,total_trades,win_rate
AAPL,0.0,0,0.0,0.0,0,0.0
BAC,0.0,0,0.0,0.0,0,0.0
DIA,0.0,0,0.0,0.0,0,0.0
DIS,0.0,0,0.0,0.0,0,0.0
GOOGL,0.0,0,0.0,0.0,0,0.0
IWM,0.0,0,0.0,0.0,0,0.0
JNJ,0.0,0,0.0,0.0,0,0.0
JPM,0.0,0,0.0,0.0,0,0.0
KO,0.0,0,0.0,0.0,0,0.0
MSFT,0.0,0,0.0,0.0,0,0.0
PFE,0.0,0,0.0,0.0,0,0.0
QQQ,0.0,0,0.0,0.0,0,0.0
SPY,0.0,0,0.0,0.0,0,0.0
TSLA,0.0,0,0.0,0.0,0,0.0
WMT,0.0,0,0.0,0.0,0,0.0
XLE,0.0,0,0.0,0.0,0,0.0
XLF,0.0,0,0.0,0.0,0,0.0
XLK,0.0,0,0.0,0.0,0,0.0
XLV,0.0,0,0.0,0.0,0,0.0
XOM,0.0,0,0.0,0.0,0,0.0
