symbol,current_price,trend,trend_strength,last_high,last_high_date,last_low,last_low_date,resistance,support,dist_to_resistance_%,dist_to_support_%,structure_summary
DBC,23.049999237060547,consolidating,0.5,22.850000381469727,2025-10-09,22.549999237060547,2025-10-30,22.850000381469727,22.549999237060547,-0.8676740226058471,2.1691974687620967,Converging pattern - potential breakout or breakdown
AIZ,226.02000427246094,volatile,0.3,223.64999389648438,2025-10-07,206.02999877929688,2025-10-29,223.64999389648438,206.02999877929688,-1.0485843426140191,8.84435232072054,Mixed signals - Higher High but Lower Low
INBX,77.55999755859375,volatile,0.3,86.63999938964844,2025-11-05,26.190000534057617,2025-09-17,86.63999938964844,26.190000534057617,11.707068227013645,66.23259236918874,Mixed signals - Higher High but Lower Low
GM,72.12000274658203,volatile,0.3,70.23999786376953,2025-10-29,54.33000183105469,2025-10-14,70.23999786376953,54.33000183105469,-2.606773171402297,24.667221627872806,Mixed signals - Higher High but Lower Low
PHG,29.424999237060547,volatile,0.3,29.290000915527344,2025-10-27,26.1299991607666,2025-10-28,29.290000915527344,26.1299991607666,-0.45878785058105914,11.197961467213633,Mixed signals - Higher High but Lower Low
YUMC,46.275001525878906,breakout,0.85,47.04999923706055,2025-08-25,41.689998626708984,2025-10-08,47.04999923706055,41.689998626708984,1.6747653930345732,9.908163690941853,Breaking out above resistance at $47.05
SEDG,42.970001220703125,consolidating,0.5,41.72999954223633,2025-10-24,30.260000228881836,2025-11-05,41.72999954223633,30.260000228881836,-2.8857380573435005,29.578777358045684,Converging pattern - potential breakout or breakdown
PDD,135.7100067138672,volatile,0.3,139.41000366210938,2025-10-29,118.7699966430664,2025-09-02,139.41000366210938,118.7699966430664,2.7263995027598154,12.482506250638782,Mixed signals - Higher High but Lower Low
KO,71.70500183105469,bullish,0.8780095691010692,71.62000274658203,2025-10-22,67.66000366210938,2025-11-03,71.62000274658203,67.66000366210938,-0.11853996555627173,5.6411659795725235,Higher High ($71.62) and Higher Low ($67.66) - Strong Uptrend
PTCT,74.46499633789062,breakout,0.85,69.4800033569336,2025-10-16,57.7400016784668,2025-09-25,69.4800033569336,57.7400016784668,-6.694411100669694,22.460210141598456,Breaking out above resistance at $69.48
CHRW,153.47500610351562,bullish,1.0,158.6999969482422,2025-10-30,125.3499984741211,2025-10-23,158.6999969482422,125.3499984741211,3.4044571669229433,18.325464414984165,Higher High ($158.70) and Higher Low ($125.35) - Strong Uptrend
RIVN,17.155000686645508,bullish,1.0648150666424125,16.170000076293945,2025-09-26,12.390000343322754,2025-11-04,16.170000076293945,12.390000343322754,-5.741769576951091,27.776159443888094,"Price above mid-range, testing resistance at $16.17"
MAR,293.1549987792969,volatile,0.3,276.79998779296875,2025-10-22,256.760009765625,2025-10-31,276.79998779296875,256.760009765625,-5.578963706718531,12.414930383319854,Mixed signals - Higher High but Lower Low
APH,141.21499633789062,breakout,0.85,126.05999755859375,2025-09-23,105.30407881122444,2025-09-02,126.05999755859375,105.30407881122444,-10.731862176333538,25.429960314371097,Breaking out above resistance at $126.06
NET,223.99000549316406,volatile,0.3,260.0,2025-11-03,203.50999450683594,2025-10-17,260.0,203.50999450683594,16.076607716291573,9.143270004943659,Mixed signals - Higher High but Lower Low
JPM,320.07000732421875,consolidating,0.5,312.1199951171875,2025-10-15,290.5400085449219,2025-10-22,312.1199951171875,290.5400085449219,-2.483835418848911,9.226106196630948,Converging pattern - potential breakout or breakdown
PH,846.4600219726562,bullish,2.577940482791344,770.4738413006174,2025-10-06,713.8263309478231,2025-10-10,770.4738413006174,713.8263309478231,-8.976936736475128,15.669220941555317,"Price above mid-range, testing resistance at $770.47"
ISRG,571.9301147460938,volatile,0.3,552.5,2025-10-23,427.8399963378906,2025-10-14,552.5,427.8399963378906,-3.3972882779078137,25.19365822731181,Mixed signals - Higher High but Lower Low
STT,121.87999725341797,bullish,0.9430219876101562,119.33000183105469,2025-10-29,104.63999938964844,2025-10-17,119.33000183105469,104.63999938964844,-2.0922181488577034,14.145059281486041,"Price above mid-range, testing resistance at $119.33"
HTHT,45.4900016784668,bullish,3.03175461726123,40.560001373291016,2025-09-29,37.599998474121094,2025-10-30,40.560001373291016,37.599998474121094,-10.83754698454859,17.344477716474838,"Price above mid-range, testing resistance at $40.56"
