symbol,date,entry_price,atr,atr_period,atr_mult_stop,atr_mult_limit,stop_loss_price,stop_loss_pct,take_profit_price,take_profit_pct,ema9,ema30,macd,macd_signal,macd_hist,trend_positive
XLE,2025-11-12,90.25,1.396,14,2.0,3.0,87.458,3.094,94.438,4.64,89.49338422649097,88.50895345367452,0.6061017270563127,0.2240342676567812,0.3820674593995315,True
MTCH,2025-11-12,32.99,0.8919,14,2.0,3.0,31.2061,5.407,35.6658,8.111,32.8388998159357,33.238621338188544,-0.2954833498714038,-0.49358282672761566,0.19809947685621188,False
ENPH,2025-11-12,30.71,2.0455,14,2.0,3.0,26.6191,13.321,36.8464,19.982,31.376245991555315,33.490306104805,-1.4705232301711675,-1.437249360427174,-0.03327386974399338,False
ENVX,2025-11-12,8.35,0.8647,14,2.0,3.0,6.6206,20.711,10.9441,31.067,9.636266688770792,10.712633467649605,-0.6836666344248528,-0.29769953352090306,-0.3859671009039497,False
ORCL,2025-11-12,226.99,10.1518,14,2.0,3.0,206.6864,8.945,257.4454,13.417,243.31778397843192,263.1319352360382,-13.433394952471929,-9.839314494080035,-3.5940804583918933,False
EH,2025-11-12,16.12,0.7844,14,2.0,3.0,14.5512,9.732,18.4732,14.598,16.636070060055633,17.317887912804945,-0.4481605439376466,-0.27551694947027067,-0.17264359446737593,False
EXPE,2025-11-12,273.65,10.9368,14,2.0,3.0,251.7765,7.993,306.4603,11.99,251.49558131148592,231.77585309814157,12.367963860063838,6.416963619527618,5.951000240536221,True
AVY,2025-11-12,174.01,3.4241,14,2.0,3.0,167.1617,3.936,184.2824,5.903,173.83156536888072,171.33136310128526,1.8874802762010177,2.3457945482675577,-0.4583142720665401,True
ZTO,2025-11-12,19.36,0.3982,14,2.0,3.0,18.5636,4.114,20.5546,6.171,19.0442214115294,18.996658930931364,0.024479596490191824,-0.015322126297797582,0.03980172278798941,True
NSC,2025-11-12,286.49,3.4728,14,2.0,3.0,279.5443,2.424,296.9085,3.637,285.1340739055415,285.6569012754761,-0.6075467219552024,-1.200456664174699,0.5929099422194966,False
CALM,2025-11-12,90.94,1.9427,14,2.0,3.0,87.0546,4.272,96.7681,6.409,89.33483343661305,91.4888046788337,-1.5225827899449342,-2.1972223798601362,0.674639589915202,False
SLV,2025-11-12,48.32,1.1459,14,2.0,3.0,46.0282,4.743,51.7577,7.115,45.505220420864674,44.099011372775784,0.8440496380904108,0.5914074152523581,0.2526422228380527,True
CL,2025-11-12,78.56,1.4303,14,2.0,3.0,75.6993,3.641,82.851,5.462,78.16914756050475,78.4143348953356,-0.19797587559698115,-0.5744830811848367,0.37650720558785555,False
INDP,2025-11-12,2.89,0.3008,14,2.0,3.0,2.2885,20.814,3.7923,31.22,2.799890023822389,3.2692597273785973,-0.30214127221508935,-0.28546599885446977,-0.01667527336061958,False
NBIX,2025-11-12,146.85,6.1168,14,2.0,3.0,134.6164,8.331,165.2004,12.496,147.87477823411842,144.43123480475242,2.347010803161396,2.1596838490465853,0.18732695411481082,True
LGND,2025-11-12,205.61,7.7968,14,2.0,3.0,190.0164,7.584,229.0004,11.376,201.69531431779188,190.14355506349125,7.559130921212983,6.325127171984155,1.2340037492288278,True
NOV,2025-11-12,15.4,0.5031,14,2.0,3.0,14.3937,6.534,16.9094,9.801,15.284777376852619,14.39680806942058,0.6060282303127078,0.5431909414477296,0.06283728886497819,True
CHPT,2025-11-12,9.67,0.4693,14,2.0,3.0,8.7313,9.707,11.078,14.561,9.945339140361199,10.540900739529548,-0.40088211877615265,-0.3222022554928654,-0.07867986328328724,False
AMC,2025-11-12,2.46,0.1036,14,2.0,3.0,2.2529,8.42,2.7707,12.63,2.491941061722549,2.6481153565766533,-0.10614935714628837,-0.09501362649323372,-0.011135730653054648,False
TRP,2025-11-12,54.77,0.9348,14,2.0,3.0,52.9004,3.414,57.5744,5.12,52.586700755476194,51.94692883238056,0.32328946586925866,-0.1819588592933267,0.5052483251625853,True
